FMAP_INNB,VDPT_YR,PNU_LNM_CD,LGL_EMD_CD,LGL_EMD_NM,CHG_CFCD,CHG_CFNM,LNM,INTPR_CD,INTPR_NM,INVD_CFCD,INVD_CFNM,ITPINP_DE,RNHST_CD,RNHST_NM,MAPDMC_NO,ND_mean
"08390514","2020","4521032027102850001","45210320",죽산면,"02",변경,285-1 대,"04",시설,"03",드론영상,"20201218",,,"35604093",2.25131356716156
"08390521","2020","4521032027102840024","45210320",죽산면,"02",변경,284-24 대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.98959994316101
"08390515","2020","4521032027102840020","45210320",죽산면,"02",변경,284-20대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.3465096950531
"08390518","2020","4521032027102840020","45210320",죽산면,"02",변경,284-20대,"02",밭,"03",드론영상,"20201218",,,"35604093",1.3465096950531
"08390520","2020","4521032027102840018","45210320",죽산면,"02",변경,284-18대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",2.20543521642685
"08390528","2020","4521032027102840015","45210320",죽산면,"02",변경,284-15대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",4.11209132836086
"08391737","2020","4521032027102840014","45210320",죽산면,"02",변경,284-14대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",4.77381245295207
"08390529","2020","4521032027102840014","45210320",죽산면,"02",변경,284-14대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",2.99316549417673
"08391741","2020","4521032027102840013","45210320",죽산면,"02",변경,284-13대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",7.05936455726624
"08390527","2020","4521032027102840011","45210320",죽산면,"02",변경,284-11대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",3.15750694274902
"08390526","2020","4521032027102840010","45210320",죽산면,"02",변경,284-10대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.45528423786163
"08390524","2020","4521032027102840008","45210320",죽산면,"02",변경,284-8대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.45528423786163
"08390523","2020","4521032027102840002","45210320",죽산면,"02",변경,284-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",2.21337604522705
"08390516","2020","4521032027102840002","45210320",죽산면,"02",변경,284-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",2.59201884269714
